shipment_id,order_id,tipo_promesa,nodo_origen,centro_fulfillment,centro_sortation,estacion_last_mile,carrier,region_destino,carril,fecha_pedido,fecha_prometida_entrega,fecha_entrega_real,flag_entregado_a_tiempo,flag_entrega_tardia,horas_retraso,costo_paquete,flag_contacto_cx,flag_reclamo,monto_compensacion
SHP000030,ORD000030,Next Day,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_CDMX_SUR,Carrier_B,Nuevo Leon,CDMX-BAJIO,2026-01-25 14:05:28,2026-01-26 14:05:28,2026-01-26 08:19:25.806437,1,0,0.0,90.4,0,0,0
SHP000031,ORD000031,Standard,FC_CDMX_01,FC_CDMX_01,SORT_QRO_01,LM_QRO,Carrier_A,Bajio,GDL-OCCIDENTE,2026-03-23 12:05:07,2026-03-27 12:05:07,2026-03-25 15:40:58.753110,1,0,0.0,81.38,0,0,0
SHP000032,ORD000032,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_B,Queretaro,GDL-MTY,2026-03-26 06:46:53,2026-03-27 06:46:53,2026-03-29 01:06:57.099972,0,1,42.33,84.59,0,0,0
SHP000033,ORD000033,Two Day,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_MTY,Carrier_A,Queretaro,MTY-CDMX,2026-03-18 11:01:00,2026-03-20 11:01:00,2026-03-19 14:50:23.027472,1,0,0.0,90.08,0,0,0
SHP000034,ORD000034,Standard,FC_MTY_01,FC_MTY_01,SORT_QRO_01,LM_PUE,Carrier_D,Occidente,GDL-OCCIDENTE,2026-03-06 14:16:18,2026-03-10 14:16:18,2026-03-08 12:49:47.256147,1,0,0.0,82.62,0,0,0
SHP000035,ORD000035,Standard,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_GDL,Carrier_A,CDMX,GDL-OCCIDENTE,2026-01-07 06:02:29,2026-01-11 06:02:29,2026-01-11 14:05:07.758324,0,1,8.04,90.14,1,0,0
SHP000036,ORD000036,Standard,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_QRO,Carrier_B,Occidente,GDL-OCCIDENTE,2026-01-16 14:50:41,2026-01-20 14:50:41,2026-01-18 16:41:12.560837,1,0,0.0,86.05,0,0,0
SHP000037,ORD000037,Next Day,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_CDMX_SUR,Carrier_A,CDMX,GDL-MTY,2026-02-09 12:51:54,2026-02-10 12:51:54,2026-02-10 05:29:30.123784,1,0,0.0,87.28,0,0,0
SHP000038,ORD000038,Next Day,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_QRO,Carrier_B,Puebla,CDMX-MTY,2026-02-11 00:51:53,2026-02-12 00:51:53,2026-02-11 20:38:37.997194,1,0,0.0,77.77,0,0,0
SHP000039,ORD000039,Standard,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_GDL,Carrier_A,Bajio,QRO-CDMX,2026-01-24 12:10:42,2026-01-28 12:10:42,2026-01-26 00:43:37.782768,1,0,0.0,85.02,0,0,0
SHP000040,ORD000040,Two Day,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_MTY,Carrier_B,Occidente,CDMX-MTY,2026-01-02 05:42:23,2026-01-04 05:42:23,2026-01-03 15:30:54.095093,1,0,0.0,76.6,0,0,0
SHP000041,ORD000041,Two Day,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_CDMX_NORTE,Carrier_B,Puebla,MTY-CDMX,2026-01-14 04:38:46,2026-01-16 04:38:46,2026-01-16 08:35:35.153348,0,1,3.95,83.51,1,1,100
SHP000042,ORD000042,Standard,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_GDL,Carrier_A,Queretaro,GDL-OCCIDENTE,2026-03-10 15:22:00,2026-03-14 15:22:00,2026-03-12 08:17:25.797233,1,0,0.0,73.47,0,0,0
SHP000043,ORD000043,Two Day,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_PUE,Carrier_C,Nuevo Leon,CDMX-MTY,2026-03-27 14:11:02,2026-03-29 14:11:02,2026-03-30 06:49:24.857400,0,1,16.64,78.09,1,0,0
SHP000044,ORD000044,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_PUE,Carrier_B,Nuevo Leon,MTY-CDMX,2026-03-01 01:21:20,2026-03-02 01:21:20,2026-03-01 23:13:50.829394,1,0,0.0,82.24,0,0,0
SHP000045,ORD000045,Next Day,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_PUE,Carrier_C,Nuevo Leon,GDL-OCCIDENTE,2026-02-17 18:21:42,2026-02-18 18:21:42,2026-02-20 14:33:03.279076,0,1,44.19,72.8,0,0,0
SHP000046,ORD000046,Two Day,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_PUE,Carrier_B,Nuevo Leon,CDMX-GDL,2026-01-01 16:15:43,2026-01-03 16:15:43,2026-01-02 18:25:55.862644,1,0,0.0,86.79,0,0,0
SHP000047,ORD000047,Two Day,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_CDMX_SUR,Carrier_C,Puebla,PUE-CDMX,2026-02-24 19:00:27,2026-02-26 19:00:27,2026-02-26 16:18:47.974386,1,0,0.0,65.22,0,0,0
SHP000048,ORD000048,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_QRO,Carrier_A,Nuevo Leon,GDL-OCCIDENTE,2026-01-15 17:05:00,2026-01-16 17:05:00,2026-01-16 10:22:52.717050,1,0,0.0,93.53,0,0,0
SHP000049,ORD000049,Two Day,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_GDL,Carrier_D,Occidente,CDMX-GDL,2026-03-29 14:38:46,2026-03-31 14:38:46,2026-03-31 08:16:15.355233,1,0,0.0,72.94,0,0,0
SHP000050,ORD000050,Two Day,FC_GDL_01,FC_GDL_01,SORT_CDMX_01,LM_GDL,Carrier_C,Occidente,PUE-CDMX,2026-03-02 14:14:46,2026-03-04 14:14:46,2026-03-04 13:50:32.663889,1,0,0.0,85.62,0,0,0
SHP000051,ORD000051,Standard,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_D,CDMX,GDL-CDMX,2026-03-13 20:19:10,2026-03-17 20:19:10,2026-03-16 00:33:01.412112,1,0,0.0,70.68,0,0,0
SHP000052,ORD000052,Standard,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_GDL,Carrier_A,Bajio,CDMX-MTY,2026-02-07 11:23:12,2026-02-11 11:23:12,2026-02-09 04:53:22.072207,1,0,0.0,75.25,1,0,0
SHP000053,ORD000053,Standard,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_C,Queretaro,QRO-CDMX,2026-01-30 23:08:46,2026-02-03 23:08:46,2026-02-01 23:49:20.974581,1,0,0.0,79.32,0,0,0
SHP000054,ORD000054,Standard,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_CDMX_NORTE,Carrier_C,Queretaro,QRO-CDMX,2026-01-28 09:11:31,2026-02-01 09:11:31,2026-02-01 18:49:29.693590,0,1,9.63,58.07,0,0,0
SHP000055,ORD000055,Standard,FC_MTY_01,FC_MTY_01,SORT_MTY_01,LM_PUE,Carrier_B,Bajio,GDL-OCCIDENTE,2026-02-02 11:38:06,2026-02-06 11:38:06,2026-02-04 06:42:35.841361,1,0,0.0,66.93,0,0,0
SHP000056,ORD000056,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_CDMX_SUR,Carrier_B,Nuevo Leon,CDMX-GDL,2026-01-11 20:35:46,2026-01-15 20:35:46,2026-01-13 14:09:01.519580,1,0,0.0,77.13,0,0,0
SHP000057,ORD000057,Two Day,FC_MTY_01,FC_MTY_01,SORT_MTY_01,LM_MTY,Carrier_C,Puebla,CDMX-MTY,2026-02-07 17:34:13,2026-02-09 17:34:13,2026-02-10 19:16:49.630800,0,1,25.71,73.22,0,0,0
SHP000058,ORD000058,Standard,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_C,CDMX,GDL-OCCIDENTE,2026-03-20 15:18:23,2026-03-24 15:18:23,2026-03-22 08:37:53.881696,1,0,0.0,63.63,0,0,0
SHP000059,ORD000059,Two Day,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_MTY,Carrier_A,Bajio,QRO-CDMX,2026-03-02 20:03:26,2026-03-04 20:03:26,2026-03-04 15:30:09.340883,1,0,0.0,92.96,0,0,0
SHP000060,ORD000060,Two Day,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_QRO,Carrier_B,Queretaro,QRO-CDMX,2026-02-09 09:39:39,2026-02-11 09:39:39,2026-02-11 11:33:37.904550,0,1,1.9,73.52,0,0,0
SHP000061,ORD000061,Standard,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_B,Queretaro,GDL-CDMX,2026-03-02 02:15:13,2026-03-06 02:15:13,2026-03-04 11:51:18.012306,1,0,0.0,75.49,0,0,0
SHP000062,ORD000062,Two Day,FC_QRO_01,FC_QRO_01,SORT_CDMX_01,LM_GDL,Carrier_A,Queretaro,QRO-CDMX,2026-02-15 11:30:03,2026-02-17 11:30:03,2026-02-17 01:11:01.070443,1,0,0.0,91.9,0,0,0
SHP000063,ORD000063,Two Day,FC_GDL_01,FC_GDL_01,SORT_QRO_01,LM_PUE,Carrier_A,CDMX,MTY-CDMX,2026-02-20 09:05:24,2026-02-22 09:05:24,2026-02-21 23:49:00.597643,1,0,0.0,89.49,0,0,0
SHP000064,ORD000064,Standard,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_C,Occidente,GDL-MTY,2026-03-07 15:43:39,2026-03-11 15:43:39,2026-03-09 12:45:42.356062,1,0,0.0,68.73,0,0,0
SHP000065,ORD000065,Two Day,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_CDMX_NORTE,Carrier_A,Queretaro,CDMX-MTY,2026-02-14 13:11:47,2026-02-16 13:11:47,2026-02-17 11:41:19.642841,0,1,22.49,89.2,0,1,100
SHP000066,ORD000066,Two Day,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_PUE,Carrier_C,Queretaro,PUE-CDMX,2026-01-25 00:31:29,2026-01-27 00:31:29,2026-01-26 18:59:53.044038,1,0,0.0,80.21,0,0,0
SHP000067,ORD000067,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_MTY,Carrier_A,Occidente,GDL-OCCIDENTE,2026-02-15 10:28:46,2026-02-16 10:28:46,2026-02-16 04:15:50.373387,1,0,0.0,89.08,0,0,0
SHP000068,ORD000068,Next Day,FC_GDL_01,FC_GDL_01,SORT_CDMX_01,LM_MTY,Carrier_A,Queretaro,GDL-OCCIDENTE,2026-02-24 14:23:25,2026-02-25 14:23:25,2026-02-25 07:45:44.780119,1,0,0.0,97.79,0,0,0
SHP000069,ORD000069,Two Day,FC_QRO_01,FC_QRO_01,SORT_QRO_01,LM_QRO,Carrier_B,Jalisco,CDMX-BAJIO,2026-02-14 00:44:18,2026-02-16 00:44:18,2026-02-15 11:19:04.366386,1,0,0.0,80.97,0,1,50
SHP000070,ORD000070,Two Day,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_QRO,Carrier_B,Jalisco,MTY-CDMX,2026-02-13 00:58:38,2026-02-15 00:58:38,2026-02-14 09:22:04.510233,1,0,0.0,86.76,0,0,0
SHP000071,ORD000071,Next Day,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_GDL,Carrier_B,Puebla,CDMX-MTY,2026-01-14 18:26:05,2026-01-15 18:26:05,2026-01-18 07:40:03.050210,0,1,61.23,90.05,1,0,0
SHP000072,ORD000072,Next Day,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_PUE,Carrier_A,Queretaro,PUE-CDMX,2026-02-02 11:00:34,2026-02-03 11:00:34,2026-02-03 03:49:22.595699,1,0,0.0,97.13,0,0,0
SHP000073,ORD000073,Two Day,FC_QRO_01,FC_QRO_01,SORT_CDMX_01,LM_CDMX_SUR,Carrier_C,Queretaro,CDMX-GDL,2026-03-25 12:19:49,2026-03-27 12:19:49,2026-03-27 10:06:38.453924,1,0,0.0,62.91,0,0,0
SHP000074,ORD000074,Standard,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_MTY,Carrier_A,Nuevo Leon,MTY-CDMX,2026-03-15 11:43:27,2026-03-19 11:43:27,2026-03-16 16:30:29.117575,1,0,0.0,76.3,0,0,0
SHP000075,ORD000075,Two Day,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_MTY,Carrier_A,Queretaro,CDMX-BAJIO,2026-01-04 03:37:57,2026-01-06 03:37:57,2026-01-06 00:45:47.887592,1,0,0.0,92.26,0,0,0
SHP000076,ORD000076,Two Day,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_MTY,Carrier_D,Puebla,GDL-OCCIDENTE,2026-01-03 22:50:10,2026-01-05 22:50:10,2026-01-05 20:42:38.850620,1,0,0.0,78.88,0,0,0
SHP000077,ORD000077,Standard,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_CDMX_NORTE,Carrier_C,Jalisco,CDMX-BAJIO,2026-01-18 23:27:33,2026-01-22 23:27:33,2026-01-21 00:32:42.808647,1,0,0.0,69.31,0,0,0
SHP000078,ORD000078,Next Day,FC_QRO_01,FC_QRO_01,SORT_MTY_01,LM_CDMX_SUR,Carrier_B,Nuevo Leon,PUE-CDMX,2026-01-28 08:23:05,2026-01-29 08:23:05,2026-01-29 03:02:17.928952,1,0,0.0,91.79,1,0,0
SHP000079,ORD000079,Standard,FC_QRO_01,FC_QRO_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_B,Bajio,GDL-OCCIDENTE,2026-01-06 09:22:05,2026-01-10 09:22:05,2026-01-08 06:19:41.552074,1,0,0.0,75.56,0,0,0
SHP000080,ORD000080,Standard,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_PUE,Carrier_A,Bajio,CDMX-GDL,2026-03-15 13:29:26,2026-03-19 13:29:26,2026-03-17 07:53:55.949120,1,0,0.0,81.4,0,0,0
SHP000081,ORD000081,Next Day,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_CDMX_NORTE,Carrier_C,Jalisco,GDL-CDMX,2026-02-16 07:28:38,2026-02-17 07:28:38,2026-02-17 05:10:42.757004,1,0,0.0,73.94,0,0,0
SHP000082,ORD000082,Standard,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_MTY,Carrier_C,Occidente,QRO-CDMX,2026-01-17 14:58:37,2026-01-21 14:58:37,2026-01-19 12:11:35.695234,1,0,0.0,67.7,0,0,0
SHP000083,ORD000083,Standard,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_GDL,Carrier_A,CDMX,MTY-CDMX,2026-02-26 05:42:13,2026-03-02 05:42:13,2026-02-27 21:14:43.271082,1,0,0.0,67.46,0,0,0
SHP000084,ORD000084,Standard,FC_QRO_01,FC_QRO_01,SORT_QRO_01,LM_PUE,Carrier_A,Puebla,GDL-MTY,2026-01-11 05:26:50,2026-01-15 05:26:50,2026-01-13 04:59:53.927814,1,0,0.0,92.69,0,0,0
SHP000085,ORD000085,Standard,FC_MTY_01,FC_MTY_01,SORT_CDMX_01,LM_QRO,Carrier_C,Nuevo Leon,GDL-OCCIDENTE,2026-02-11 22:11:35,2026-02-15 22:11:35,2026-02-14 00:23:46.169848,1,0,0.0,73.55,0,0,0
SHP000086,ORD000086,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_C,Occidente,CDMX-BAJIO,2026-01-11 13:55:24,2026-01-15 13:55:24,2026-01-13 14:27:28.489587,1,0,0.0,75.9,0,0,0
SHP000087,ORD000087,Two Day,FC_MTY_01,FC_MTY_01,SORT_QRO_01,LM_PUE,Carrier_A,Jalisco,GDL-OCCIDENTE,2026-03-05 11:40:32,2026-03-07 11:40:32,2026-03-07 21:59:12.464183,0,1,10.31,98.85,0,0,0
SHP000088,ORD000088,Two Day,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_MTY,Carrier_B,Bajio,MTY-CDMX,2026-02-01 15:01:26,2026-02-03 15:01:26,2026-02-03 00:28:54.087526,1,0,0.0,91.44,0,0,0
SHP000089,ORD000089,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_MTY,Carrier_A,Queretaro,PUE-CDMX,2026-02-02 23:51:39,2026-02-06 23:51:39,2026-02-04 07:39:02.259176,1,0,0.0,83.08,0,0,0
SHP000090,ORD000090,Next Day,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_MTY,Carrier_A,Occidente,MTY-CDMX,2026-02-03 09:02:49,2026-02-04 09:02:49,2026-02-04 04:55:47.307574,1,0,0.0,97.04,0,0,0
SHP000091,ORD000091,Two Day,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_QRO,Carrier_A,Jalisco,CDMX-MTY,2026-01-24 18:24:01,2026-01-26 18:24:01,2026-01-26 07:04:59.606623,1,0,0.0,88.86,0,0,0
SHP000092,ORD000092,Standard,FC_QRO_01,FC_QRO_01,SORT_GDL_01,LM_PUE,Carrier_B,Bajio,CDMX-BAJIO,2026-02-13 20:19:20,2026-02-17 20:19:20,2026-02-15 18:51:58.849007,1,0,0.0,85.34,0,0,0
SHP000093,ORD000093,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_CDMX_SUR,Carrier_B,Jalisco,MTY-CDMX,2026-03-06 19:08:20,2026-03-10 19:08:20,2026-03-08 08:54:21.161419,1,0,0.0,77.52,0,0,0
SHP000094,ORD000094,Two Day,FC_QRO_01,FC_QRO_01,SORT_MTY_01,LM_MTY,Carrier_D,Puebla,QRO-CDMX,2026-02-04 11:46:40,2026-02-06 11:46:40,2026-02-07 08:58:58.602304,0,1,21.21,80.42,1,0,0
SHP000095,ORD000095,Standard,FC_MTY_01,FC_MTY_01,SORT_MTY_01,LM_GDL,Carrier_A,Bajio,GDL-MTY,2026-01-31 23:16:48,2026-02-04 23:16:48,2026-02-03 00:27:58.156403,1,0,0.0,94.02,0,0,0
SHP000096,ORD000096,Next Day,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_A,Queretaro,MTY-CDMX,2026-03-12 16:24:19,2026-03-13 16:24:19,2026-03-13 08:33:54.210558,1,0,0.0,85.47,0,0,0
SHP000097,ORD000097,Two Day,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_C,Nuevo Leon,GDL-MTY,2026-02-05 08:54:49,2026-02-07 08:54:49,2026-02-07 02:11:19.577752,1,0,0.0,76.21,0,0,0
SHP000098,ORD000098,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_GDL,Carrier_A,CDMX,GDL-OCCIDENTE,2026-01-29 16:43:39,2026-01-30 16:43:39,2026-02-01 03:10:53.630448,0,1,34.45,82.06,0,0,0
SHP000099,ORD000099,Standard,FC_GDL_01,FC_GDL_01,SORT_QRO_01,LM_CDMX_NORTE,Carrier_D,Puebla,MTY-CDMX,2026-02-15 21:46:26,2026-02-19 21:46:26,2026-02-17 13:32:01.272544,1,0,0.0,88.64,0,0,0
